Burst,Pause,Syntactic.Context.of.the.pause,Distance.to.theme.after,Distance.to.theme.before,Thematic.element.with.pause,Thematic.element.without.pause,Non.Themetic.with.pause,Non.Thematic.without.pause,topical,evaluative,thematized.CA,marked,enhanced,textual,file_id
s is,1.488,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
easil<BACKSPACE5>,1.087,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<BACKSPACE7>,1.936,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
here are advantages,1.616,end sentence,8,0,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1
of dating online,1.904,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
first before dating in real,1.471,mid PP,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1
life,14.464,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
. That<BACKSPACE4>,1.215,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<ENTER1>,3.135,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
The firsr<BACKSPACE1>t advantage wou,1.312,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
ld <BACKSPACE6>is,12.224,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
we can,8.464,mid VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
save our time,2.16,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<BACKSPACE14>,1.536,mid VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
pre,1.12,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
screen,4.416,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<HIGHLIGHT 544:545><LEFT1><HIGHLIGHT 543:545><LEFT1><HIGHLIGHT 542:545><LEFT1><HIGHLIGHT 541:545><LEFT1><HIGHLIGHT 540:545><LEFT1><HIGHLIGHT 539:545><LEFT1><HIGHLIGHT 538:545><LEFT1><HIGHLIGHT 537:545><LEFT1><HIGHLIGHT 536:545><LEFT1><HIGHLIGHT 535:545><LEFT1><HIGHLIGHT 534:545><LEFT1>,1.28,mid VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<REPLACED>save our ti,1.103,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<BACKSPACE2>,1.504,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
resources through online dating,2.559,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
before,1.04,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
meeting in a real life dating. When we go for a,2.255,mid NP,35,8,NA,1,NA,1,1,NA,NA,NA,NA,NA,1
n,1.056,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
in,1.36,mid word,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
"-person dating,",4.656,end clause,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
our rom<BACKSPACE7>we will,2.799,mid VP,0,7,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
opt for go,1.007,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<BACKSPACE2>,1.504,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
going to,3.488,end VP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
places that,1.888,end NP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
cost,8.735,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"us our resources, be it",1.2,end NP,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,1
omeny,1.6,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"<BACKSPACE5>money, time, or energy.",5.759,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
"Cafe, restaurant, cinema",1.648,end NP,0,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1
a,1.839,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<LEFT8>and <LEFT4><RIGHT11>,1.008,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
re among the go-to places for,2.704,mid PP,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
couples to,1.951,mid VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<BACKSPACE3>,4.127,end PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
to dat,1.088,mid word,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
"e, and they all require money",8.943,end sentence,6,13,NA,1,1,NA,1,NA,NA,NA,NA,NA,1
to spend,1.584,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
a<BACKSPACE2>,5.792,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
. t<BACKSPACE8>,3.408,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<BACKSPACE2>,1.296,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
ime <BACKSPACE5>and time,1.056,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
to spend,4.591,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
.,4.599,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<MOUSECLICK>,3.704,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<MOUSECLICK><LEFT1>do their,1.344,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
first,1.087,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<RIGHT4>s<RIGHT48>,2.848,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
By conductin<BACKSPACE9>doing onli<BACKSPACE11><LEFT50><RIGHT1><BACKSPACE1> and,2.207,end NP,0,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1
get to know each other,1.328,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
.,1.567,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<RIGHT1><HIGHLIGHT 860:859><RIGHT1><HIGHLIGHT 861:859><RIGHT1><HIGHLIGHT 862:859><RIGHT1><REPLACED>Ho,1.664,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"wever,",1.871,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<DOWN1> doing nlin<BACKSPACE4>online dating <UP1><RIGHT20>,1.687,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"<LEFT1><RIGHT3>, and",1.152,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
these first dates can either,1.456,mid VP,0,10,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1
lead to a more serious dating stage or not,1.776,end sentence,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
<DOWN1>,1.135,end PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"furst<BACKSPACE4>irat<BACKSPACE2>st, the resources s[",1.215,mid word,0,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1
<BACKSPACE1>pent in the first dates can be sac<BACKSPACE1>ved,3.536,end sentence,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
while in the same tim,1.312,mid word,5,0,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1
e,1.535,end PP,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
", the couples c<BACKSPACE1>",1.408,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<UP1><RIGHT15>,1.12,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
co,1.104,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
uple can save,2.655,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<BACKSPACE1><RIGHT36><LEFT1><DOWN1>,1.407,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<HIGHLIGHT 1120:1121><HIGHLIGHT 1119:1121><HIGHLIGHT 1118:1121><HIGHLIGHT 1117:1121><HIGHLIGHT 1116:1121><HIGHLIGHT 1115:1121><HIGHLIGHT 1114:1121><HIGHLIGHT 1113:1121><HIGHLIGHT 1112:1121><HIGHLIGHT 1111:1121><HIGHLIGHT 1110:1121><HIGHLIGHT 1109:1121><HIGHLIGHT 1108:1121><HIGHLIGHT 1107:1121><HIGHLIGHT 1106:1121><HIGHLIGHT 1105:1121><HIGHLIGHT 1104:1121><HIGHLIGHT 1103:1121><HIGHLIGHT 1102:1121><HIGHLIGHT 1101:1121><HIGHLIGHT 1100:1121><HIGHLIGHT 1099:1121><HIGHLIGHT 1098:1121><HIGHLIGHT 1097:1121><HIGHLIGHT 1096:1121><HIGHLIGHT 1095:1121><HIGHLIGHT 1094:1121><HIGHLIGHT 1093:1121><HIGHLIGHT 1092:1121><HIGHLIGHT 1091:1121><HIGHLIGHT 1090:1121><HIGHLIGHT 1089:1121><HIGHLIGHT 1088:1121><HIGHLIGHT 1087:1121><HIGHLIGHT 1086:1121><HIGHLIGHT 1085:1121><HIGHLIGHT 1084:1121><HIGHLIGHT 1083:1121><HIGHLIGHT 1082:1121><HIGHLIGHT 1081:1121><HIGHLIGHT 1080:1121><HIGHLIGHT 1079:1121><HIGHLIGHT 1078:1121><HIGHLIGHT 1077:1121><HIGHLIGHT 1076:1121><HIGHLIGHT 1075:1121><HIGHLIGHT 1074:1121><HIGHLIGHT 1073:1121><HIGHLIGHT 1072:1121><LEFT49><HIGHLIGHT 1071:1121><LEFT1>,1.52,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<REPLACED> AND,4.367,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<BACKSPACE4>AN<BACKSPACE2>and,11.36,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
get,1.007,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<BACKSPACE8>while still,1.248,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
s<BACKSPACE1>get to know each other bettw<BACKSPACE1>er/<BACKSPACE1>.<ENTER1>,3.616,end sentence,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1
The second advantage is,1.568,end VP,0,3,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1
to,1.248,mid VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
minimize the risk of,1.072,mid NP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
criminality,2.304,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
from,4.24,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<BACKSPACE16>being,1.936,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
a victim,1.248,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
of scam,1.616,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<BACKSPACE7>of a criminal act.,1.04,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
It is,1.632,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
not,1.072,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<BACKSPACE3>w,1.087,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"<BACKSPACE7>M<BACKSPACE1>Dating people is a risky act, we<BACKSPACE4>, we basically m",1.344,end NP,0,11,1,1,NA,1,2,NA,NA,NA,NA,NA,1
eet po<BACKSPACE1>eople who do<BACKSPACE2>we do not know really well in the ho[,1.056,mid word,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1
<BACKSPACE1>pe of creating a connection.,2.096,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
While,1.152,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
most people,1.712,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
are,5.232,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<BACKSPACE22>,4.96,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Unfortunea<BACKSPACE2>ately, some peop",1.008,mid word,0,0,2,NA,NA,NA,1,1,NA,NA,NA,NA,1
le,1.456,end NP,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
take advatn<BACKSPACE2>ntage upon this,12.16,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<BACKSPACE10>from dating to,1.743,mid VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
do criminal,1.984,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
", harmful act",1.28,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
; caes<BACKSPACE2>ses of scamming,2.543,end NP,0,0,1,NA,1,1,1,NA,NA,NA,NA,NA,1
and robbing du<BACKSPACE2>in the first dates are not unheard of,13.84,end sentence,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
.,2.143,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
By doing <BACKSPACE9>Online dating,1.84,end NP,0,0,1,NA,1,NA,1,NA,NA,NA,NA,NA,1
in the early stage,1.296,end PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
of a,1.503,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<SPACE>,2.575,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<MOUSECLICK><HIGHLIGHT 1486:1480><MOUSECLICK><REPLACED>meeting,1.312,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<DOWN1>,1.023,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
dat,3.312,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
e can,4.112,mid VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
help us to avoid such malicious act,1.199,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
.<ENTER1>,16.655,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<MOUSECLICK>,1.359,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
People go,2.272,end VP,0,3,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1
<SPACE>,3.856,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
for d<BACKSPACE1>a date,14,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<MOUSECLICK><HIGHLIGHT 124:122><MOUSECLICK><BACKSPACE2>,1.087,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
", familial, or",1.832,end NP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
<MOUSECLICK>,1.144,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<LEFT1>,1.92,end PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
with another,4.224,end PP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
<SPACE>,1.663,end PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
to,1.28,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"find such connection, b",1.007,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<BACKSPACE3>,4.495,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
.,19.607,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<MOUSECLICK>,2.744,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
As,3.344,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<BACKSPACE2>,6.728,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<MOUSECLICK>,3.032,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"<ENTER1>Lastly, online",4.512,mid NP,0,0,2,NA,NA,NA,1,NA,NA,NA,NA,1,1
dating,6.512,end NP,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
eases,2.56,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
dating activity for,4.048,mid PP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
pe,1.008,mid PP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
ople with shy,1.024,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
or reserved personality.,6.591,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
It,1.552,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<BACKSPACE3>There are people who have difficulties in,4.944,mid PP,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
making,1.152,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
a good impresi<BACKSPACE1>sion,2.096,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
when,2.624,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
meeting another people in the first,1.536,mid PP,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
occassiom<BACKSPACE1>n due to their,4.624,mid NP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
introvertness.,5.12,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
They oftee<BACKSPACE1>n,2.175,end NP,0,6,2,NA,NA,NA,1,NA,NA,NA,NA,NA,1
feel<BACKSPACE10>are often fi,1.983,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<BACKSPACE12>often find no luck ion<BACKSPACE3>in doing,6.928,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
firsyt,1.183,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<BACKSPACE2>t dating with,6.976,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<BACKSPACE24>,1.056,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
their d<BACKSPACE1><LEFT9>to continue the relationship,1.76,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
<DOWN1><LEFT1>,3.679,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<HIGHLIGHT 1924:1925><LEFT1><HIGHLIGHT 1923:1925><LEFT1><HIGHLIGHT 1922:1925><LEFT1><HIGHLIGHT 1921:1925><LEFT1><HIGHLIGHT 1920:1925><LEFT1><HIGHLIGHT 1919:1925><LEFT1><HIGHLIGHT 1918:1925><LEFT1><HIGHLIGHT 1917:1925><LEFT1><HIGHLIGHT 1916:1925><LEFT1><REPLACED>FROM THEIR <BACKSPACE11>from their relatinship,4.575,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
